Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,17x11,Color,Gloss Black,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,17x11,Color,Chrome,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,17x11,Color,Brushed Rose gold,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,17x11,Color,Brushed Gold,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,17x11,Color,Gloss Gray,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,17x11,Color,Brushed Bronze,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,17x11,Color,Brushed Silver,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,18x10.5,Color,Gloss Black,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,18x10.5,Color,Chrome,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,18x10.5,Color,Brushed Rose gold,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,18x10.5,Color,Brushed Gold,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,18x10.5,Color,Gloss Gray,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,18x10.5,Color,Brushed Bronze,,,1999.00
c7-z06-beadlock,C6 / C7 Z06 style beadlocks,Size,18x10.5,Color,Brushed Silver,,,1999.00
